,country,country_code,days_required_to_start_business_resid
1,Afghanistan,AFG,-9.882564560415393
2,Angola,AGO,15.425895080020865
3,Albania,ALB,-16.937677967113896
5,Arab World,ARB,1.965882582942978
6,United Arab Emirates,ARE,-0.3782821296275092
7,Argentina,ARG,6.4083598397888615
8,Armenia,ARM,-16.741613216888535
10,Antigua and Barbuda,ATG,4.3519853686937715
11,Australia,AUS,-7.2346189084993515
12,Austria,AUT,12.603143726743053
13,Azerbaijan,AZE,-15.860693157388287
14,Burundi,BDI,-13.861910769527036
15,Belgium,BEL,-5.8260446671590636
16,Benin,BEN,-5.968904055622371
17,Burkina Faso,BFA,-5.285935740348993
18,Bangladesh,BGD,0.5060808309077629
19,Bulgaria,BGR,5.848120622722547
20,Bahrain,BHR,-0.2765380384807763
21,"Bahamas, The",BHS,14.747277928287296
22,Bosnia and Herzegovina,BIH,61.0619466036127
23,Belarus,BLR,-10.081625156308142
24,Belize,BLZ,21.833114568015617
26,Bolivia,BOL,28.479092065150347
27,Brazil,BRA,65.5599477805166
28,Barbados,BRB,-1.4926506863665487
29,Brunei Darussalam,BRN,5.697682229351431
30,Bhutan,BTN,-6.054640922690318
31,Botswana,BWA,27.732543084178836
32,Central African Republic,CAF,4.182747907506823
33,Canada,CAN,-8.423553601638426
34,Central Europe and the Baltics,CEB,0.5227543601381903
35,Switzerland,CHE,1.446949027761793
37,Chile,CHL,-9.503391947973707
38,China,CHN,8.27452102897318
39,Cote d'Ivoire,CIV,-12.04331857479724
40,Cameroon,CMR,-2.56479278839101
41,"Congo, Dem. Rep.",COD,-6.410480210801655
42,"Congo, Rep.",COG,30.421544377510838
43,Colombia,COL,-9.423034162165617
44,Comoros,COM,-2.702996417472523
45,Cabo Verde,CPV,-2.2452884144922507
46,Costa Rica,CRI,2.5814935850885945
47,Caribbean small states,CSS,2.3383137329269132
51,Cyprus,CYP,-5.281687753051475
52,Czech Republic,CZE,17.856980456908587
53,Germany,DEU,0.9230685070804121
55,Dominica,DMA,-9.82704763067311
56,Denmark,DNK,-5.999987618620308
57,Dominican Republic,DOM,-6.69376707904992
58,Algeria,DZA,-3.029140246100205
59,East Asia & Pacific (excluding high income),EAP,14.408684530142349
60,Early-demographic dividend,EAR,13.877622040016352
61,East Asia & Pacific,EAS,7.2487613051673065
62,Europe & Central Asia (excluding high income),ECA,-5.606655416317906
63,Europe & Central Asia,ECS,-1.5782910163062986
64,Ecuador,ECU,28.567177036208914
65,"Egypt, Arab Rep.",EGY,-5.357713330188144
66,Euro area,EMU,0.22147895610120827
68,Spain,ESP,1.7878928506796807
69,Estonia,EST,-10.85260250481083
70,Ethiopia,ETH,16.743912462060994
71,European Union,EUU,1.3300594402497854
72,Fragile and conflict affected situations,FCS,9.590754212656307
73,Finland,FIN,6.652670211975863
74,Fiji,FJI,36.64843348900109
75,France,FRA,-6.6623396534924275
77,"Micronesia, Fed. Sts.",FSM,-3.0567402200605933
78,Gabon,GAB,27.71532605827477
79,United Kingdom,GBR,-5.94369237120417
80,Georgia,GEO,-19.54952079646124
81,Ghana,GHA,-5.305958447439306
83,Guinea,GIN,-3.3620826560732233
84,"Gambia, The",GMB,6.729987985158122
85,Guinea-Bissau,GNB,-9.71507882574867
86,Equatorial Guinea,GNQ,135.89704847584153
87,Greece,GRC,-2.1897275273923054
88,Grenada,GRD,-6.501456416657231
90,Guatemala,GTM,5.641822026339412
92,Guyana,GUY,-2.763241772360569
93,High income,HIC,2.3083067190922204
94,"Hong Kong SAR, China",HKG,-7.2681460966147196
95,Honduras,HND,-6.529059076458228
96,Heavily indebted poor countries (HIPC),HPC,4.907227066378066
97,Croatia,HRV,5.600230925772369
98,Haiti,HTI,78.68820759142545
99,Hungary,HUN,-8.445662445790223
100,IBRD only,IBD,8.43624291760218
101,IDA & IBRD total,IBT,5.569305938079001
102,IDA total,IDA,5.473910600430866
103,IDA blend,IDB,4.722446108514891
104,Indonesia,IDN,25.901028640844302
105,IDA only,IDX,5.839598314101529
107,India,IND,9.825707991222192
109,Ireland,IRL,-2.5517952512470963
110,"Iran, Islamic Rep.",IRN,53.02991816968968
111,Iraq,IRQ,14.081639905978808
112,Iceland,ISL,2.3941408614028994
113,Israel,ISR,1.1023427969615902
114,Italy,ITA,-5.6861349466072255
115,Jamaica,JAM,-18.20283013231286
116,Jordan,JOR,-8.856575026285931
117,Japan,JPN,0.5723427442151028
118,Kazakhstan,KAZ,-4.949434443880012
119,Kenya,KEN,9.140890027709439
120,Kyrgyz Republic,KGZ,-9.041503669341179
121,Cambodia,KHM,67.9343531257336
122,Kiribati,KIR,12.548455771558665
123,St. Kitts and Nevis,KNA,3.569214890193736
124,"Korea, Rep.",KOR,-8.0970378296176
125,Kuwait,KWT,22.774681613351575
126,Latin America & Caribbean (excluding high income),LAC,16.65320599343249
127,Lao PDR,LAO,166.82642740242946
128,Lebanon,LBN,-6.261798709531909
129,Liberia,LBR,-12.106441938277058
130,Libya,LBY,14.64589115245375
131,St. Lucia,LCA,-10.776922389917079
132,Latin America & Caribbean,LCN,10.253934538513068
133,Least developed countries: UN classification,LDC,9.488185302925771
134,Low income,LIC,7.581872241297411
136,Sri Lanka,LKA,-11.930535331750356
137,Lower middle income,LMC,5.224830299057373
138,Low & middle income,LMY,6.413814750487067
139,Lesotho,LSO,10.196153094440632
140,Late-demographic dividend,LTE,-5.038976554034592
141,Lithuania,LTU,-8.768461468068221
142,Luxembourg,LUX,7.513330094391948
143,Latvia,LVA,-10.596475665237683
146,Morocco,MAR,-10.360028127625181
148,Moldova,MDA,-13.72108726061742
149,Madagascar,MDG,-5.182158123924829
150,Maldives,MDV,-8.987459801488008
151,Middle East & North Africa,MEA,3.4057454907615323
152,Mexico,MEX,-11.236466886118437
153,Marshall Islands,MHL,-2.234703230823488
154,Middle income,MIC,6.867247339277004
155,"Macedonia, FYR",MKD,-7.389378622669444
156,Mali,MLI,-9.93728752236839
157,Malta,MLT,16.038729990991968
158,Myanmar,MMR,-3.8603544807772323
159,Middle East & North Africa (excluding high income),MNA,4.1244140306082535
160,Montenegro,MNE,-8.107217290318516
161,Mongolia,MNG,-10.902370280741348
163,Mozambique,MOZ,2.941633725488746
164,Mauritania,MRT,-11.205954305030726
165,Mauritius,MUS,-11.708369171829222
166,Malawi,MWI,19.95582926277765
167,Malaysia,MYS,-7.714852094227165
168,North America,NAC,-5.367722842246352
169,Namibia,NAM,44.165935831278425
171,Niger,NER,-2.9569913026369505
172,Nigeria,NGA,10.158037471639986
173,Nicaragua,NIC,-5.815476879163601
174,Netherlands,NLD,-5.926953169685184
175,Norway,NOR,-4.578718155907936
176,Nepal,NPL,-1.6202761911672425
178,New Zealand,NZL,-10.852226446237971
179,OECD members,OED,-0.8547967944030201
180,Oman,OMN,-1.9749441988735494
181,Other small states,OSS,8.896855930659418
182,Pakistan,PAK,0.3018636190507742
183,Panama,PAN,-11.290506851833289
184,Peru,PER,19.66653731645433
185,Philippines,PHL,8.326373020832872
186,Palau,PLW,7.280083851852179
187,Papua New Guinea,PNG,33.69350303733882
188,Poland,POL,21.758205849530704
189,Pre-demographic dividend,PRE,6.969622583186485
190,Puerto Rico,PRI,-5.422070262245828
192,Portugal,PRT,-8.0276901811112
193,Paraguay,PRY,13.07264940462338
194,West Bank and Gaza,PSE,23.793866612680034
195,Pacific island small states,PSS,4.3745273949527075
196,Post-demographic dividend,PST,2.1433942971117883
198,Qatar,QAT,-0.4810906157859982
199,Romania,ROU,-9.530984407656469
200,Russian Federation,RUS,-5.290019060478173
201,Rwanda,RWA,-12.351023813752644
202,South Asia,SAS,-3.4841723920349423
203,Saudi Arabia,SAU,14.270896492534224
204,Sudan,SDN,16.984021872200834
205,Senegal,SEN,-12.898279354264531
206,Singapore,SGP,-6.417873833362407
207,Solomon Islands,SLB,-9.544083915925658
208,Sierra Leone,SLE,-8.152210101569615
209,El Salvador,SLV,-4.23789500235204
210,San Marino,SMR,3.8815254171164444
212,Serbia,SRB,-9.827156515518848
213,Sub-Saharan Africa (excluding high income),SSA,9.632857092584551
214,South Sudan,SSD,-4.416836149824917
215,Sub-Saharan Africa,SSF,9.698541288935363
216,Small states,SST,6.868824362760481
217,Sao Tome and Principe,STP,-11.90990463275034
218,Suriname,SUR,64.03261500145622
219,Slovak Republic,SVK,12.468384170831392
220,Slovenia,SVN,-7.300778381442784
221,Sweden,SWE,-2.569575362277263
222,Eswatini,SWZ,8.94036027781856
224,Seychelles,SYC,16.710760589400287
227,Chad,TCD,41.49396020412173
228,East Asia & Pacific (IDA & IBRD countries),TEA,14.072462687141925
229,Europe & Central Asia (IDA & IBRD countries),TEC,-3.770065436979051
230,Togo,TGO,-8.21613654998535
231,Thailand,THA,9.339909233303725
232,Tajikistan,TJK,-7.770004809981966
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,11.539434648622564
235,Timor-Leste,TLS,-6.904461899537186
236,Middle East & North Africa (IDA & IBRD countries),TMN,2.679440291321125
237,Tonga,TON,-3.9200557123460413
238,South Asia (IDA & IBRD),TSA,-3.4841723920349423
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,9.698541288935363
240,Trinidad and Tobago,TTO,-1.1111147180152532
241,Tunisia,TUN,-9.933014194207416
242,Turkey,TUR,-5.041544886595499
244,Tanzania,TZA,10.2985254108005
245,Uganda,UGA,8.68128233528919
246,Ukraine,UKR,-12.933321110467318
247,Upper middle income,UMC,11.440853524359472
248,Uruguay,URY,-11.255390723435443
249,United States,USA,-3.214964295277028
250,Uzbekistan,UZB,-14.649000293552803
251,St. Vincent and the Grenadines,VCT,-11.905756098510356
255,Vietnam,VNM,-0.0838212701309331
256,Vanuatu,VUT,16.154150957346122
257,World,WLD,2.738388509090413
258,Samoa,WSM,-11.086012161582914
259,Kosovo,XKX,-11.601797143058064
260,"Yemen, Rep.",YEM,21.538793936311993
261,South Africa,ZAF,24.38034661970985
262,Zambia,ZMB,-10.717493161815785
263,Zimbabwe,ZWE,72.43388408083149
